"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","52","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Tue Aug 19 07:01:27 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","202","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:29 GMT 2025","109","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","290","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Tue Aug 19 07:01:25 GMT 2025","Tue Aug 19 07:01:27 GMT 2025","2361","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Tue Aug 19 07:01:27 GMT 2025","Tue Aug 19 07:01:27 GMT 2025","89","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","215","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","80","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:01:28 GMT 2025","Tue Aug 19 07:01:28 GMT 2025","72","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
