"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 07:13:52 GMT 2025","Tue Aug 19 07:13:52 GMT 2025","364","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:13:55 GMT 2025","Tue Aug 19 07:13:56 GMT 2025","754","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:13:52 GMT 2025","Tue Aug 19 07:13:53 GMT 2025","1137","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
"passed","Tue Aug 19 07:13:48 GMT 2025","Tue Aug 19 07:13:51 GMT 2025","2523","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Tue Aug 19 07:13:53 GMT 2025","Tue Aug 19 07:13:54 GMT 2025","350","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Tue Aug 19 07:13:51 GMT 2025","Tue Aug 19 07:13:52 GMT 2025","517","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
"passed","Tue Aug 19 07:13:54 GMT 2025","Tue Aug 19 07:13:55 GMT 2025","1477","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Tue Aug 19 07:13:52 GMT 2025","Tue Aug 19 07:13:52 GMT 2025","386","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
"passed","Tue Aug 19 07:13:51 GMT 2025","Tue Aug 19 07:13:51 GMT 2025","401","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
