"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 07:07:13 GMT 2025","Tue Aug 19 07:07:13 GMT 2025","118","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","199","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
"passed","Tue Aug 19 07:07:10 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","1773","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","84","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","55","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","60","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:13 GMT 2025","275","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","83","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
"passed","Tue Aug 19 07:07:12 GMT 2025","Tue Aug 19 07:07:12 GMT 2025","129","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
