"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 08:48:21 GMT 2025","Wed Aug 20 08:48:23 GMT 2025","2235","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","55","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Wed Aug 20 08:48:23 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","316","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","244","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","79","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Wed Aug 20 08:48:23 GMT 2025","Wed Aug 20 08:48:23 GMT 2025","62","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","63","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","61","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
"passed","Wed Aug 20 08:48:24 GMT 2025","Wed Aug 20 08:48:24 GMT 2025","194","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
