"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 07:03:29 GMT 2025","Tue Aug 19 07:03:31 GMT 2025","2293","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","36","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","204","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","104","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","58","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","81","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","139","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
"passed","Tue Aug 19 07:03:31 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","60","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
"passed","Tue Aug 19 07:03:32 GMT 2025","Tue Aug 19 07:03:32 GMT 2025","49","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
