"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 08:45:44 GMT 2025","Wed Aug 20 08:45:44 GMT 2025","77","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание букинга с валидными данными",""
"passed","Wed Aug 20 08:45:43 GMT 2025","Wed Aug 20 08:45:44 GMT 2025","215","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление букинга с валидными данными",""
"passed","Wed Aug 20 08:45:43 GMT 2025","Wed Aug 20 08:45:43 GMT 2025","68","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение букинга с невалидными данными",""
"passed","Wed Aug 20 08:45:44 GMT 2025","Wed Aug 20 08:45:44 GMT 2025","37","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение букинга с валидными данными",""
"passed","Wed Aug 20 08:45:40 GMT 2025","Wed Aug 20 08:45:43 GMT 2025","2733","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Wed Aug 20 08:45:43 GMT 2025","Wed Aug 20 08:45:43 GMT 2025","290","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение букингов с валидными данными",""
"passed","Wed Aug 20 08:45:44 GMT 2025","Wed Aug 20 08:45:44 GMT 2025","233","","com.restfulbooker.api.ApiUpdateBookingTest","","com.restfulbooker.api.ApiUpdateBookingTest","testCreateAndUpdateBooking","Обновление данных букинга с валидными данными",""
"passed","Wed Aug 20 08:45:43 GMT 2025","Wed Aug 20 08:45:43 GMT 2025","51","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание букинга с валидными данными",""
"passed","Wed Aug 20 08:45:43 GMT 2025","Wed Aug 20 08:45:43 GMT 2025","68","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидными данными",""
